JOB_RUN_ID,SCORE_NAME,MODEL_RUN_DATE,SERVICE_TYPE,EXECUTION_TYPE,USECASE,Success,DASHBOARD_URL
15,pre_2_post_prediction2,2021-05-10 10:39:18,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
16,prepaid_to_postpaid_model,2021-05-11 04:28:05,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
17,multinomial,2021-05-20 05:56:25,Prepaid,Training,MultiNomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
18,regression_test,2021-05-20 05:57:12,Prepaid,Training,Regression,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
19,churntest,2021-05-24 05:20:54,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
20,churn_31_may,2021-06-01 05:38:49,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
21,pre_to_post_1may,2021-06-01 12:23:04,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
22,aiops,2021-06-02 05:23:22,Prepaid,Training,MultiNomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
23,orange_demo,2021-06-02 10:29:30,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
24,emailtesting,2021-06-04 11:18:03,Prepaid,Training,Regression,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
25,test,2021-06-04 11:41:14,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
26,churnmodelmlr,2021-06-09 09:31:10,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
27,churn_etho,2021-06-10 08:21:16,Prepaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
28,nbo_prediction_model,2021-02-26 10:43:07,Postpaid,Production,MultiNomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/b14db52b-1645-4749-804c-803a64555ae5/state/analysis
29,nbo_prediction_model,2021-03-01 10:43:07,Postpaid,Production,MultiNomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/b14db52b-1645-4749-804c-803a64555ae5/state/analysis
30,clv_prediction_model,2021-02-26 17:20:16,Postpaid,Production,Regression,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/2a9624ea-cf40-4599-85d9-e7bb24c253e7/state/analysis
31,clv_prediction_model,2021-02-27 17:20:16,Postpaid,Production,Regression,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/2a9624ea-cf40-4599-85d9-e7bb24c253e7/state/analysis
32,churn_exe_model,2021-02-27 17:19:52,Postpaid,Production,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/d1e13885-3b74-40c7-b3c2-d6afede6fd56/state/analysis
33,churn_exe_model,2021-02-28 17:19:52,Postpaid,Production,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/d1e13885-3b74-40c7-b3c2-d6afede6fd56/state/analysis
34,churn_exe_model,2021-02-27 17:17:10,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
35,churn_exe_model,2021-03-01 17:17:10,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
36,clv_prediction_model,2021-02-26 17:17:53,Postpaid,Training,Regression,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
37,clv_prediction_model,2021-02-28 17:17:53,Postpaid,Training,Regression,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
38,nbo_prediction_model,2021-02-27 17:18:43,Postpaid,Training,MultiNomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
39,nbo_prediction_model,2021-03-01 17:18:43,Postpaid,Training,MultiNomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
40,churn_28_apr,2021-04-28 11:09:52,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
41,churn_propensity,2021-05-10 09:55:41,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
42,pre_2_post_prediction2,2021-05-10 10:39:18,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
43,prepaid_to_postpaid_model,2021-05-11 04:28:05,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
44,multinomial,2021-05-20 05:56:25,Postpaid,Training,MultiNomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
45,regression_test,2021-05-20 05:57:12,Postpaid,Training,Regression,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
46,churntest,2021-05-24 05:20:54,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
47,churn_31_may,2021-06-01 05:38:49,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
48,pre_to_post_1may,2021-06-01 12:23:04,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
49,aiops,2021-06-02 05:23:22,Postpaid,Training,MultiNomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
50,orange_demo,2021-06-02 10:29:30,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
51,emailtesting,2021-06-04 11:18:03,Postpaid,Training,Regression,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
52,test,2021-06-04 11:41:14,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
53,churnmodelmlr,2021-06-09 09:31:10,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
54,churn_etho,2021-06-10 08:21:16,Postpaid,Training,Binomial Classification,1,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
55,nbo_prediction_model,2021-02-26 10:43:07,Prepaid,Production,MultiNomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/b14db52b-1645-4749-804c-803a64555ae5/state/analysis
56,nbo_prediction_model,2021-03-01 10:43:07,Prepaid,Production,MultiNomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/b14db52b-1645-4749-804c-803a64555ae5/state/analysis
57,clv_prediction_model,2021-02-26 17:20:16,Prepaid,Production,Regression,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/2a9624ea-cf40-4599-85d9-e7bb24c253e7/state/analysis
58,clv_prediction_model,2021-02-27 17:20:16,Prepaid,Production,Regression,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/2a9624ea-cf40-4599-85d9-e7bb24c253e7/state/analysis
59,churn_exe_model,2021-02-27 17:19:52,Prepaid,Production,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/d1e13885-3b74-40c7-b3c2-d6afede6fd56/state/analysis
60,churn_exe_model,2021-02-28 17:19:52,Prepaid,Production,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/d1e13885-3b74-40c7-b3c2-d6afede6fd56/state/analysis
61,churn_exe_model,2021-02-27 17:17:10,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
62,churn_exe_model,2021-03-01 17:17:10,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
63,clv_prediction_model,2021-02-26 17:17:53,Prepaid,Training,Regression,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
64,clv_prediction_model,2021-02-28 17:17:53,Prepaid,Training,Regression,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
65,nbo_prediction_model,2021-02-27 17:18:43,Prepaid,Training,MultiNomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
66,nbo_prediction_model,2021-03-01 17:18:43,Prepaid,Training,MultiNomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
67,churn_28_apr,2021-04-28 11:09:52,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
68,churn_propensity,2021-05-10 09:55:41,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
69,pre_2_post_prediction2,2021-05-10 10:39:18,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
70,prepaid_to_postpaid_model,2021-05-11 04:28:05,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
71,multinomial,2021-05-20 05:56:25,Prepaid,Training,MultiNomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
72,regression_test,2021-05-20 05:57:12,Prepaid,Training,Regression,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
73,churntest,2021-05-24 05:20:54,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
74,churn_31_may,2021-06-01 05:38:49,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
75,pre_to_post_1may,2021-06-01 12:23:04,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
76,aiops,2021-06-02 05:23:22,Prepaid,Training,MultiNomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
77,orange_demo,2021-06-02 10:29:30,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
78,emailtesting,2021-06-04 11:18:03,Prepaid,Training,Regression,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
79,test,2021-06-04 11:41:14,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
80,churnmodelmlr,2021-06-09 09:31:10,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
81,churn_etho,2021-06-10 08:21:16,Prepaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
82,nbo_prediction_model,2021-02-26 10:43:07,Postpaid,Production,MultiNomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/b14db52b-1645-4749-804c-803a64555ae5/state/analysis
83,nbo_prediction_model,2021-03-01 10:43:07,Postpaid,Production,MultiNomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/b14db52b-1645-4749-804c-803a64555ae5/state/analysis
84,clv_prediction_model,2021-02-26 17:20:16,Postpaid,Production,Regression,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/2a9624ea-cf40-4599-85d9-e7bb24c253e7/state/analysis
85,clv_prediction_model,2021-02-27 17:20:16,Postpaid,Production,Regression,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/2a9624ea-cf40-4599-85d9-e7bb24c253e7/state/analysis
86,churn_exe_model,2021-02-27 17:19:52,Postpaid,Production,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/d1e13885-3b74-40c7-b3c2-d6afede6fd56/state/analysis
87,churn_exe_model,2021-02-28 17:19:52,Postpaid,Production,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/d1e13885-3b74-40c7-b3c2-d6afede6fd56/state/analysis
88,churn_exe_model,2021-02-27 17:17:10,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
89,churn_exe_model,2021-03-01 17:17:10,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
90,clv_prediction_model,2021-02-26 17:17:53,Postpaid,Training,Regression,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
91,clv_prediction_model,2021-02-28 17:17:53,Postpaid,Training,Regression,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
92,nbo_prediction_model,2021-02-27 17:18:43,Postpaid,Training,MultiNomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
93,nbo_prediction_model,2021-03-01 17:18:43,Postpaid,Training,MultiNomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
94,churn_28_apr,2021-04-28 11:09:52,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
95,churn_propensity,2021-05-10 09:55:41,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
96,pre_2_post_prediction2,2021-05-10 10:39:18,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
97,prepaid_to_postpaid_model,2021-05-11 04:28:05,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
98,multinomial,2021-05-20 05:56:25,Postpaid,Training,MultiNomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
99,regression_test,2021-05-20 05:57:12,Postpaid,Training,Regression,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
100,churntest,2021-05-24 05:20:54,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
101,churn_31_may,2021-06-01 05:38:49,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
102,pre_to_post_1may,2021-06-01 12:23:04,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
103,aiops,2021-06-02 05:23:22,Postpaid,Training,MultiNomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/036d8c5f-2a21-448c-943e-ba2991d39752/state/0
104,orange_demo,2021-06-02 10:29:30,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
105,emailtesting,2021-06-04 11:18:03,Postpaid,Training,Regression,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/0949be92-695d-4f5e-b99d-ade142460921/state/0
106,test,2021-06-04 11:41:14,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
107,churnmodelmlr,2021-06-09 09:31:10,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
108,churn_etho,2021-06-10 08:21:16,Postpaid,Training,Binomial Classification,0,https://dev-qlik1.dev-red-cloud.com/sense/app/e8427129-e70b-427f-abfc-3a5ee4d8afd0/sheet/dc795112-9298-49d0-a39f-e628706aa675/state/0
